NOME,DATETIME,TEMPERATURA_MEDIA,LATITUDE,LONGITUDE,ALTITUDE
CWB,2020-05-30,,-25.4486111,-49.23055554,922.91
CWB,2020-05-31,,-25.4486111,-49.23055554,922.91
CWB,2020-06-01,17.8,-25.4486111,-49.23055554,922.91
CWB,2020-06-02,13.0,-25.4486111,-49.23055554,922.91
CWB,2020-06-03,13.1,-25.4486111,-49.23055554,922.91
CWB,2020-06-04,13.5,-25.4486111,-49.23055554,922.91
CWB,2020-06-05,15.9,-25.4486111,-49.23055554,922.91
CWB,2020-06-06,16.6,-25.4486111,-49.23055554,922.91
CWB,2020-06-07,,-25.4486111,-49.23055554,922.91
CWB,2020-06-08,16.0,-25.4486111,-49.23055554,922.91
CWB,2020-06-09,17.2,-25.4486111,-49.23055554,922.91
CWB,2020-06-10,17.7,-25.4486111,-49.23055554,922.91
CWB,2020-06-11,20.8,-25.4486111,-49.23055554,922.91
CWB,2020-06-12,20.1,-25.4486111,-49.23055554,922.91
CWB,2020-06-13,20.5,-25.4486111,-49.23055554,922.91
CWB,2020-06-14,13.2,-25.4486111,-49.23055554,922.91
CWB,2020-06-15,13.3,-25.4486111,-49.23055554,922.91
CWB,2020-06-16,15.7,-25.4486111,-49.23055554,922.91
CWB,2020-06-17,16.2,-25.4486111,-49.23055554,922.91
CWB,2020-06-18,16.9,-25.4486111,-49.23055554,922.91
CWB,2020-06-19,18.6,-25.4486111,-49.23055554,922.91
CWB,2020-06-20,18.7,-25.4486111,-49.23055554,922.91
CWB,2020-06-21,18.8,-25.4486111,-49.23055554,922.91
CWB,2020-06-22,18.8,-25.4486111,-49.23055554,922.91
CWB,2020-06-23,17.3,-25.4486111,-49.23055554,922.91
CWB,2020-06-24,17.2,-25.4486111,-49.23055554,922.91
CWB,2020-06-25,17.8,-25.4486111,-49.23055554,922.91
CWB,2020-06-26,13.7,-25.4486111,-49.23055554,922.91
CWB,2020-06-27,,-25.4486111,-49.23055554,922.91
CWB,2020-06-28,,-25.4486111,-49.23055554,922.91
CWB,2020-06-29,12.8,-25.4486111,-49.23055554,922.91
CWB,2020-06-30,15.4,-25.4486111,-49.23055554,922.91
CWB,2020-07-01,11.0,-25.4486111,-49.23055554,922.91
CWB,2020-07-02,,-25.4486111,-49.23055554,922.91
CWB,2020-07-03,,-25.4486111,-49.23055554,922.91
CWB,2020-07-04,,-25.4486111,-49.23055554,922.91
CWB,2020-07-05,,-25.4486111,-49.23055554,922.91
CWB,2020-07-06,15.9,-25.4486111,-49.23055554,922.91
CWB,2020-07-07,17.0,-25.4486111,-49.23055554,922.91
CWB,2020-07-08,17.9,-25.4486111,-49.23055554,922.91
CWB,2020-07-09,11.0,-25.4486111,-49.23055554,922.91
CWB,2020-07-10,,-25.4486111,-49.23055554,922.91
CWB,2020-07-11,16.0,-25.4486111,-49.23055554,922.91
CWB,2020-07-12,19.7,-25.4486111,-49.23055554,922.91
CWB,2020-07-13,19.8,-25.4486111,-49.23055554,922.91
CWB,2020-07-14,14.9,-25.4486111,-49.23055554,922.91
CWB,2020-07-15,12.3,-25.4486111,-49.23055554,922.91
CWB,2020-07-16,12.6,-25.4486111,-49.23055554,922.91
CWB,2020-07-17,15.9,-25.4486111,-49.23055554,922.91
CWB,2020-07-18,17.9,-25.4486111,-49.23055554,922.91
CWB,2020-07-19,17.5,-25.4486111,-49.23055554,922.91
CWB,2020-07-20,16.4,-25.4486111,-49.23055554,922.91
CWB,2020-07-21,17.4,-25.4486111,-49.23055554,922.91
CWB,2020-07-22,17.4,-25.4486111,-49.23055554,922.91
CWB,2020-07-23,17.2,-25.4486111,-49.23055554,922.91
CWB,2020-07-24,17.8,-25.4486111,-49.23055554,922.91
CWB,2020-07-25,17.5,-25.4486111,-49.23055554,922.91
CWB,2020-07-26,13.5,-25.4486111,-49.23055554,922.91
CWB,2020-07-27,17.2,-25.4486111,-49.23055554,922.91
CWB,2020-07-28,18.9,-25.4486111,-49.23055554,922.91
CWB,2020-07-29,10.4,-25.4486111,-49.23055554,922.91
CWB,2020-07-30,,-25.4486111,-49.23055554,922.91
CWB,2020-07-31,12.7,-25.4486111,-49.23055554,922.91
CWB,2020-08-01,14.8,-25.4486111,-49.23055554,922.91
CWB,2020-08-02,14.5,-25.4486111,-49.23055554,922.91
CWB,2020-08-03,,-25.4486111,-49.23055554,922.91
CWB,2020-08-04,14.9,-25.4486111,-49.23055554,922.91
